Name,Dice,AverageSurfaceDistance,Hausdorff
210525,0.542416753999837,"[(5.081885749157753, 4.806002555357854), (4.436687454635972, 3.112993263882834), (6.770678529397694, 4.645376791714043), (6.650873640373384, 3.216657867510974)]","[17.029386365926403, 15.905973720586866, 21.354156504062622, 21.79449471770337]"
l4879,0.4861510916285259,"[(10.509875393803146, 11.263218157175617), (10.3642126341352, 9.733362383636772), (6.931410666552712, 9.682725113334087), (6.440732933564737, 7.846496160228572)]","[35.22782990761707, 36.24913792078372, 34.336569426778794, 33.24154027718932]"
l7349,0.6411745018830713,"[(5.024118119871666, 5.628966788666913), (4.044887088668142, 4.154146838095717), (3.290085174221624, 4.815486777952803), (2.397450533436474, 3.554303031427398)]","[16.09347693943108, 15.297058540778355, 16.1245154965971, 15.0]"
fb9364,0.7328067658273731,"[(1.097453877188059, 1.2821987879128567), (1.8017844897430413, 0.7277679354147052), (1.084211533667513, 1.2181875289973982), (1.7726548046350448, 0.7054941949186977)]","[8.12403840463596, 5.830951894845301, 7.681145747868608, 6.0]"
fb9455,0.3855473007051418,"[(6.629293527326654, 9.671044102060856), (6.0946172624585895, 8.442395708003707), (9.684622790511103, 13.469360283442954), (9.208624700240318, 12.836952201690677)]","[32.93933818400121, 31.416556144810016, 41.48493702538308, 39.824615503479755]"
jb1922,0.5908815311577241,"[(5.85760433309505, 7.754714366420826), (6.200189329405827, 4.158133786688608), (6.51348751800097, 6.814624864030884), (5.987548928003416, 5.5776947830153345)]","[25.317977802344327, 28.178005607210743, 26.832815729997478, 26.476404589747453]"
me0801,0.8117538081673904,"[(0.8768647979555045, 1.087705532343792), (1.0286067193319754, 0.640023759160193), (0.7642694799916849, 1.067105949998864), (0.9205283680842704, 0.671992302886026)]","[7.0, 3.605551275463989, 6.164414002968976, 3.0]"
me1102,0.5468613365465578,"[(15.502579477852205, 7.444560344985677), (15.033992854631625, 7.126708328789863), (13.497215141027578, 8.088900672398113), (13.240852975634162, 7.8878189775732395)]","[54.67174773134658, 53.150729063673246, 50.65570056765576, 49.72926703662542]"
vk1506,0.21755474150774598,"[(27.578386377289444, 20.4601438578978), (26.92823047364431, 20.411643925102382), (31.150984697331282, 14.920183815418072), (31.91568547473197, 14.31378808751223)]","[77.0, 76.8505042273634, 84.55767262643882, 85.871997764114]"
vk3464,0.7214031901776385,"[(5.54220439984055, 4.86709512509362), (4.411829599175269, 3.365454784641523), (4.30682721310163, 2.989907448261854), (3.2516097316957984, 1.6463611441746275)]","[16.34013463836819, 15.066519173319364, 15.362291495737216, 13.784048752090222]"
