Name,Dice,AverageSurfaceDistance,Hausdorff
210525,0.9577530266272379,"[(0.1972816496256693, 0.06466570498224762), (0.2272842360049344, 0.12505706886445048), (1.1121096557225363, 0.05932920720786293), (1.0082641102598549, 0.1386969630080254)]","[1.0, 1.0, 6.324555320336759, 4.58257569495584]"
l4879,0.9559270618345567,"[(1.095962784486347, 0.1123916693729553), (0.914782789245645, 0.17669300460318704), (0.7283178324919614, 0.09677327327016524), (0.6675002936956445, 0.15650940028493854)]","[8.366600265340756, 5.916079783099616, 5.385164807134504, 4.123105625617661]"
l7349,0.9447900296255681,"[(1.4747674066246639, 0.178930098148669), (1.23169002629356, 0.289444775435265), (1.0730690757059922, 0.11363672879956126), (1.0371054824840171, 0.17969330396716798)]","[12.36931687685298, 9.486832980505138, 9.643650760992955, 8.12403840463596]"
fb9364,0.9891905012780408,"[(0.01849847174184323, 0.004389466420280295), (0.06005489733263894, 0.07591805011205306), (0.004497986550011565, 0.003586605967252293), (0.0595165373215198, 0.08062908766277346)]","[0.0, 0.0, 0.0, 0.0]"
fb9455,0.9721048988936755,"[(0.16312104498217359, 0.14691836486444534), (0.13705139587037268, 0.23009273783919887), (0.18995400798571765, 0.1495953675477072), (0.16178290047263447, 0.22458787300886082)]","[1.0, 1.4142135623730951, 1.0, 1.4142135623730951]"
jb1922,0.989259165440371,"[(0.07333017394356738, 0.05837864997208306), (0.054503906868746455, 0.083464069887834), (0.06736255781092347, 0.05486275984850009), (0.056241611556277514, 0.08034647280276029)]","[0.0, 0.0, 0.0, 0.0]"
me0801,0.9823162135411505,"[(0.05606523493550509, 0.039318312599887606), (0.08440280392525569, 0.11425201146215787), (0.04267539264747171, 0.04779175293491331), (0.08883158932922357, 0.12982250439360962)]","[0.0, 1.0, 0.0, 1.0]"
me1102,0.9891156128087318,"[(0.021254723340705373, 0.001940592912081232), (0.08438492552041855, 0.02660149046087872), (0.026262914621438427, 0.0012992267008835028), (0.11764019017870135, 0.04782134633519962)]","[0.0, 0.0, 0.0, 1.0]"
vk1506,0.9671388971295,"[(0.12474602987903056, 0.0675128656600161), (0.17441582026256522, 0.18535324450854576), (0.32705225138800886, 0.08783739310522692), (0.2973060873860207, 0.1741097857123181)]","[1.0, 1.4142135623730951, 1.7320508075688772, 1.4142135623730951]"
vk3464,0.9789953514339321,"[(0.03499979098576059, 0.03902449829586702), (0.0886605981291006, 0.11495075625695218), (0.07574982136175089, 0.04606614562822), (0.14666152271172947, 0.14175826403268119)]","[0.0, 1.0, 0.0, 1.0]"
