Name,Dice,AverageSurfaceDistance,Hausdorff
210525,0.9577530266272379,"[(0.11836898977540154, 0.03879942298934857), (0.1363705416029605, 0.0750342413186702), (0.6672657934335219, 0.03559752432471775), (0.6049584661559125, 0.08321817780481512)]","[0.6, 0.6, 3.7947331922020546, 2.749545416973504]"
l4879,0.9559270618345567,"[(0.6575776706918082, 0.06743500162377315), (0.5488696735473869, 0.10601580276191218), (0.4369906994951768, 0.05806396396209911), (0.4005001762173866, 0.09390564017096309)]","[5.0199601592044525, 3.5496478698597693, 3.2310988842807022, 2.473863375370596]"
l7349,0.9447900296255681,"[(0.8848604439747978, 0.10735805888920137), (0.7390140157761363, 0.17366686526115901), (0.6438414454235952, 0.0681820372797367), (0.6222632894904102, 0.10781598238030078)]","[7.421590126111788, 5.692099788303083, 5.786190456595773, 4.874423042781576]"
fb9364,0.9891905012780408,"[(0.011099083045105939, 0.002633679852168178), (0.03603293839958332, 0.045550830067231804), (0.002698791930006939, 0.002151963580351376), (0.035709922392911854, 0.048377452597664045)]","[0.0, 0.0, 0.0, 0.0]"
fb9455,0.9721048988936755,"[(0.09787262698930414, 0.08815101891866718), (0.08223083752222358, 0.13805564270351928), (0.11397240479143059, 0.0897572205286243), (0.0970697402835806, 0.13475272380531636)]","[0.6, 0.848528137423857, 0.6, 0.848528137423857]"
jb1922,0.989259165440371,"[(0.043998104366140434, 0.03502718998324984), (0.03270234412124785, 0.050078441932700356), (0.04041753468655408, 0.03291765590910006), (0.03374496693376648, 0.04820788368165614)]","[0.0, 0.0, 0.0, 0.0]"
me0801,0.9823162135411505,"[(0.03363914096130305, 0.023590987559932563), (0.050641682355153414, 0.06855120687729468), (0.02560523558848302, 0.028675051760947985), (0.05329895359753414, 0.07789350263616573)]","[0.0, 0.6, 0.0, 0.6]"
me1102,0.9891156128087318,"[(0.012752834004423223, 0.0011643557472487394), (0.05063095531225109, 0.01596089427652721), (0.01575774877286306, 0.0007795360205301018), (0.0705841141072207, 0.02869280780111973)]","[0.0, 0.0, 0.0, 0.6]"
vk1506,0.9671388971295,"[(0.07484761792741837, 0.04050771939600967), (0.10464949215753903, 0.11121194670512737), (0.1962313508328053, 0.05270243586313615), (0.17838365243161225, 0.10446587142739076)]","[0.6, 0.848528137423857, 1.0392304845413265, 0.848528137423857]"
vk3464,0.9789953514339321,"[(0.020999874591456347, 0.023414698977520212), (0.05319635887746031, 0.06897045375417121), (0.045449892817050516, 0.02763968737693199), (0.08799691362703763, 0.08505495841960865)]","[0.0, 0.6, 0.0, 0.6]"
