Name,Dice,AverageSurfaceDistance,Hausdorff
210525,0.9102429429839721,"[(0.5837472182468054, 1.262227664554676), (0.6713172738147544, 0.6349221224538611), (0.5990632175681795, 1.2310978196936504), (0.6337050126514899, 0.6232249555318446)]","[7.0710678118654755, 2.23606797749979, 7.0710678118654755, 2.23606797749979]"
l4879,0.9184560100889255,"[(0.643441740811095, 1.6739163878354766), (0.5887420857063718, 0.7509014034051159), (0.6286691242416641, 1.7765886678878393), (0.5923930615716018, 0.6490750588243833)]","[9.695359714832659, 2.0, 8.12403840463596, 2.0]"
l7349,0.9125895246557918,"[(0.6354558984703059, 1.4259577317786067), (0.647281078153516, 0.676088360057502), (0.6411077516994786, 1.2305351966372122), (0.6152159760375467, 0.5299642932040288)]","[7.615773105863909, 2.0, 7.0710678118654755, 2.0]"
fb9364,0.9029993626466136,"[(0.4790693308410295, 1.1130688261136925), (0.7043585140147072, 0.7280487045398847), (0.47778902548687757, 1.0256539763962067), (0.7571005714313689, 0.8884052501623783)]","[6.324555320336759, 2.449489742783178, 5.656854249492381, 2.8284271247461903]"
fb9455,0.9091793545709186,"[(0.5622579529292312, 1.4095955304239094), (0.672806345410668, 0.7913085072780448), (0.5544237680053422, 1.0715306977833394), (0.6918268591795057, 0.6681716753770286)]","[6.164414002968976, 2.23606797749979, 5.385164807134504, 2.23606797749979]"
jb1922,0.9059083231306452,"[(0.5872319517706174, 5.6963361333267555), (0.6227716899605068, 1.0120090401097201), (0.5836457185020326, 2.7840184605148965), (0.666580213498531, 1.089331760493623)]","[21.213203435596427, 2.23606797749979, 11.357816691600547, 2.23606797749979]"
me0801,0.8971189022877586,"[(0.5567656737627755, 1.1930611476603963), (0.6914727472118214, 0.6701533009367076), (0.5323323779872282, 1.1025427750430474), (0.7071595590337832, 0.6617391944302079)]","[6.0, 2.23606797749979, 5.477225575051661, 2.23606797749979]"
me1102,0.8932288985379107,"[(0.5983681260447244, 1.8798614627269883), (0.7174396709743256, 0.737486454262705), (0.5712221265919947, 1.700959729233044), (0.7365770178987202, 0.7773601556853162)]","[8.660254037844387, 2.23606797749979, 8.54400374531753, 2.23606797749979]"
vk1506,0.9120025447498784,"[(0.5155163193573734, 1.0572889602248745), (0.6880748208308701, 0.5530291867844186), (0.5290535801077291, 0.9490808513114828), (0.6585293299722454, 0.5862607388280321)]","[6.164414002968976, 2.23606797749979, 5.0990195135927845, 2.23606797749979]"
vk3464,0.9120717581790662,"[(0.5221403984015304, 1.608279594575912), (0.6823572021147037, 0.5543765911740974), (0.5737447140589254, 1.318748097064634), (0.6904505063299209, 0.639982980442858)]","[6.4031242374328485, 2.23606797749979, 6.082762530298219, 2.23606797749979]"
