Name,Dice,AverageSurfaceDistance,Hausdorff
210525,0.9100898048740552,"[(0.8131046851963193, 1.2777986675687625), (0.9758195076931606, 0.6081435237766807), (0.8061784510089118, 1.25205009350392), (0.9278287045050065, 0.6000325383585747)]","[7.0710678118654755, 3.1622776601683795, 6.782329983125268, 3.0]"
l4879,0.916362669963718,"[(0.8333080719655415, 1.3673203633555113), (0.9068694329401726, 0.5184507329241639), (0.8961676909694622, 1.2920058718883047), (0.9394619386545305, 0.509486581850321)]","[8.12403840463596, 3.0, 7.483314773547883, 3.1622776601683795]"
l7349,0.9099136838979645,"[(0.8632684250519069, 1.3338722299439618), (0.9831690348924681, 0.6362334490178515), (0.8355561045028413, 1.300147610082767), (0.9106992130093501, 0.5781998347114817)]","[7.54983443527075, 3.0, 7.3484692283495345, 3.0]"
fb9364,0.8997744524539089,"[(0.7189434576035363, 1.1386092084641322), (1.100312618001567, 0.6408148361714863), (0.7307979845740877, 1.1132156829008708), (1.1372383052613977, 0.6273986647982629)]","[6.48074069840786, 3.605551275463989, 5.916079783099616, 3.605551275463989]"
fb9455,0.9085396009306266,"[(0.841870578799667, 1.1052989925365724), (1.0431882236694014, 0.6090947936839867), (0.7884022055171822, 1.0591631937168242), (1.0384945724745147, 0.5995043150568649)]","[5.744562646538029, 3.4641016151377544, 5.385164807134504, 3.3166247903554]"
jb1922,0.9049880401925567,"[(0.851072716696349, 1.1674698395269603), (0.9857906472523951, 0.5776807561432654), (0.7542745744430099, 1.1160244462752458), (1.019534317138148, 0.636990058547372)]","[6.082762530298219, 3.1622776601683795, 5.830951894845301, 3.1622776601683795]"
me0801,0.8957692761183432,"[(0.7720354255827611, 1.132206432938736), (1.093881999209445, 0.7169454417680249), (0.7585396887964684, 1.1075313350185232), (1.0791042266202424, 0.6580137750708646)]","[5.744562646538029, 3.3166247903554, 5.744562646538029, 3.3166247903554]"
me1102,0.8885230066688703,"[(0.7853380259104652, 1.2348047193762233), (1.0684654561043592, 0.5348350752445687), (0.7664331083111472, 1.2179705465680832), (1.0632772086947238, 0.5642733969837572)]","[7.14142842854285, 3.1622776601683795, 7.0710678118654755, 3.1622776601683795]"
vk1506,0.9111274482115839,"[(0.8401068086224486, 1.169737845917746), (1.0992556528043047, 0.638044159143275), (0.7957551139345165, 1.0070758086617602), (1.0521181298137379, 0.5802959032746167)]","[6.708203932499369, 3.605551275463989, 5.0, 3.605551275463989]"
vk3464,0.9093751434801992,"[(0.7232659148246273, 1.0900732847672856), (1.039351266354193, 0.5942739816721173), (0.7752948600188105, 1.0806078521078981), (1.046600710464406, 0.5897141560833351)]","[5.385164807134504, 3.1622776601683795, 5.385164807134504, 3.1622776601683795]"
