Name,Dice,AverageSurfaceDistance,Hausdorff
210525,0.9138724138575747,"[(0.5877035420615638, 1.1402246996147152), (0.6775737840660462, 0.5383935315673708), (0.6156741656192527, 1.1567136021119924), (0.6366504095581862, 0.547903560337287)]","[6.48074069840786, 2.23606797749979, 6.708203932499369, 2.23606797749979]"
l4879,0.922491341876236,"[(0.6347683396455093, 1.2354566478891469), (0.5796330043724125, 0.44181347518623393), (0.6188176084857194, 1.130175337282955), (0.5918971902970136, 0.4261934524140361)]","[8.0, 2.0, 7.0, 2.0]"
l7349,0.9154108426749968,"[(0.6365112811836702, 1.1768981523539406), (0.6459399377015896, 0.5160250760681793), (0.6390536905953983, 1.1746370375943072), (0.6142533404708108, 0.4707226496797586)]","[7.0, 2.0, 7.0710678118654755, 2.0]"
fb9364,0.9055079083419403,"[(0.4780304149098425, 1.0008202182868897), (0.6976090683880688, 0.4837236234944081), (0.4900213600579572, 0.9739484808460528), (0.7821020645476756, 0.5363064342608506)]","[6.0, 2.449489742783178, 5.385164807134504, 3.0]"
fb9455,0.9131200593932418,"[(0.5643623369428963, 0.9468893189676084), (0.669514952190057, 0.4877326237249281), (0.5570975666909058, 0.9233190353831685), (0.6983620896051919, 0.4950072556606675)]","[5.385164807134504, 2.23606797749979, 5.196152422706632, 2.23606797749979]"
jb1922,0.9131494535343355,"[(0.5782481772003217, 1.0238965467621537), (0.615180906111958, 0.48092073499770116), (0.564443497055715, 1.0105225551281913), (0.6687461215445564, 0.5013528225668342)]","[5.744562646538029, 2.23606797749979, 5.656854249492381, 2.23606797749979]"
me0801,0.9000703343404831,"[(0.5316185889706211, 0.9798079227378876), (0.7216031404335591, 0.6027611634902232), (0.5207274568775505, 0.9739012882754796), (0.7126444590217713, 0.5852312169312303)]","[5.385164807134504, 2.23606797749979, 5.0990195135927845, 2.23606797749979]"
me1102,0.896891558385378,"[(0.5817322855176088, 1.1015077198189542), (0.7351331284600885, 0.42580088062007976), (0.5788500393306868, 1.0925319419679214), (0.7440410941732235, 0.4589517242063717)]","[7.0, 2.23606797749979, 7.0, 2.23606797749979]"
vk1506,0.9155436189467417,"[(0.5079247051065016, 0.991700513839508), (0.7012731165464465, 0.4972759655810149), (0.5130085955674106, 0.8841492122131565), (0.6689398077456769, 0.5121273685731221)]","[6.082762530298219, 2.449489742783178, 4.898979485566356, 2.23606797749979]"
vk3464,0.9151204972727709,"[(0.5121052002098614, 0.9746607024978791), (0.6948457682944138, 0.47726481842868224), (0.5805468299964629, 0.9805452038218311), (0.7130005279405255, 0.5097136648046646)]","[5.0990195135927845, 2.23606797749979, 5.0990195135927845, 2.23606797749979]"
